ID,marka,naw3,9at3a,khochn,toul,3ordh,R,G,B,soum
0,Bey&Bey,mta3 a3res,kabbout,1.081666667,22.4,57,98,18,21,49.2
1,HA,confy,sabbat,1.038333333,46.4,54,128,23,27,180.9
2,Zen,confy,maryoul,1.021666667,40.8,54,121,22,25,143.8
3,Bey&Bey,confy,maryoul,1.065,24.8,56,101,18,21,54.4
4,Armani,classy,kabbout,1.041666667,72,61,146,26,30,345.9
5,Armani,sport,maryoul,1.038333333,81.6,59,151,27,32,463.3
6,Armani,sport,t-shirt,1.03,24,60,102,18,21,77.6
7,Bey&Bey,mta3 kolyoum,sabbat,1.068333333,80.8,57,150,26,32,446.6
8,HA,classy,t-shirt,1.016666667,43.2,56.1,124,22,25,124
9,Zen,mta3 a3res,sabbat,1.036666667,56,56,135,24,28,240
10,Zen,confy,t-shirt,1.025,56,56,135,24,28,296.7
11,Zen,mta3 kolyoum,sabbat,1.018333333,20,60,96,17,20,39.9
12,Bey&Bey,mta3 kolyoum,serwel,1.056666667,34.4,57,113,20,24,66.9
13,Bey&Bey,sport,maryoul,1.06,34.4,55,114,20,24,90.3
14,Zen,confy,t-shirt,1.025,19.2,57,94,17,19,35.7
15,Armani,posé,sabbat,0.993333333,80,59,155,28,31,506.9
16,Armani,sport,t-shirt,1.016666667,136,59,182,33,37,1652.1
17,Zen,mta3 a3res,maryoul,1.048333333,80.8,57,150,27,32,607.5
18,HA,sport,sabbat,1.031666667,84,57,153,28,32,656.2
19,Zen,formel,jacket,1.058333333,32.8,58,111,20,24,84.5
20,HA,sport,hoodie,1.016666667,87.2,56,157,28,32,354.9
21,Armani,confy,sabbat,1.036666667,120.8,59,175,31,36,1484.4
22,HA,posé,t-shirt,1.045,32.8,56,112,20,23,82.7
23,Zen,sport,kabbout,1.05,80.8,59,150,27,32,684.3
24,Zen,formel,sabbat,1.023333333,56.8,56,136,25,28,221.9
25,Zen,posé,maryoul,1.051666667,96.8,60,160,28,34,587.1
26,Armani,posé,kabbout,1.01,43.2,60,125,22,25,166.2
27,Armani,mta3 kolyoum,maryoul,0.996666667,33.6,59,115,21,23,81
28,Armani,sport,t-shirt,1.028333333,59.2,58,137,25,28,281.5
29,HA,mta3 kolyoum,kabbout,1.016666667,28,57,107,19,22,91
30,Armani,formel,maryoul,1,102.4,60,168,30,33,616.4
31,Kontakt,confy,serwel,0.918333333,68.8,69,153,27,28,275.7
32,HA,classy,serwel,1.033333333,141.6,56,184,33,38,777.1
33,HA,formel,maryoul,1.048333333,160.8,55,191,34,40,1260.6
34,Armani,classy,maryoul,1.008333333,160.8,59,192,34,39,1269
35,Zen,formel,t-shirt,1.001666667,30.4,60,110,20,22,60.6
36,Armani,mta3 a3res,maryoul,1.011666667,134.4,62,183,33,37,1268.1
37,Bey&Bey,confy,maryoul,1.055,73.6,57,146,26,31,364.9
38,Zen,confy,jacket,1.02,24.8,58,103,18,21,89
39,Zen,sport,sabbat,1.005,101.6,59,165,30,34,854.9
40,HA,sport,sabbat,1.043333333,120,56,173,31,36,1246.8
41,Armani,mta3 kolyoum,sabbat,1.045,123.2,59,174,31,36,1692.1
42,HA,confy,t-shirt,1.02,24.8,55,104,19,21,72.2
43,Armani,mta3 kolyoum,serwel,1.033333333,32.8,58,113,20,23,87.6
